function,oracle,predicted,correct,confidence
linear,polynomial,linear,False,0.5
quadratic,polynomial,linear,False,0.5
cubic,polynomial,complex,False,0.2053526131403849
poly_high,polynomial,complex,False,0.2684492259986162
sine_simple,complex,linear,False,0.5
sine_high_freq,nonparametric,nonparametric,True,0.5469840627068481
sine_modulated,nonparametric,complex,False,0.1142715706877131
chirp,complex,nonparametric,False,0.5241620851046701
sawtooth,complex,nonparametric,False,0.2080792036106769
step,complex,complex,True,0.08884242080424776
abs_value,polynomial,complex,False,0.2872767932439029
piecewise_linear,complex,complex,True,0.12129505379528949
relu_like,polynomial,complex,False,0.4306164192242392
square_wave,complex,complex,True,0.1554641487572671
exponential,polynomial,linear,False,0.5
log_func,polynomial,linear,False,0.5
sigmoid,polynomial,linear,False,0.5
gaussian_bump,nonparametric,complex,False,0.06851524907071671
double_exp,nonparametric,linear,False,0.5
heteroscedastic_base,polynomial,complex,False,0.08650214830329517
noisy_sine_base,complex,linear,False,0.5
near_poly_sine,complex,complex,True,0.1412400772021024
runge,complex,complex,True,0.0884804686833649
xor_like,polynomial,complex,False,0.9341590335282264
interaction_simple,polynomial,linear,False,0.5
radial,polynomial,complex,False,0.061935994109067916
oscilatory_decay,nonparametric,nonparametric,True,0.593076960019854
polynomial_rational,nonparametric,complex,False,0.06302218755032885
weierstrass,complex,complex,True,0.05378625941045312
